subject,file,lineno,NOC,NOFF,NOO,experience-based,statistics-based,tuning machine
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\collocations.py,66,48,1,7,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\collocations.py,68,48,1,7,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\collocations.py,80,50,1,17,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\collocations.py,106,15,1,5,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\collocations.py,125,44,1,11,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\collocations.py,355,42,1,8,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\collocations.py,365,41,1,10,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\compat.py,192,25,1,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\compat.py,580,64,2,12,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\data.py,76,27,2,4,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\data.py,633,25,1,5,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\data.py,1309,35,1,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\decorators.py,23,33,2,7,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\downloader.py,299,49,1,9,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\downloader.py,490,66,2,12,1,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\downloader.py,495,66,2,12,1,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\downloader.py,565,40,1,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\downloader.py,742,42,1,8,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\downloader.py,789,80,2,20,1,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\downloader.py,829,66,1,10,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\downloader.py,831,24,1,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\downloader.py,834,75,1,10,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\downloader.py,836,27,1,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\downloader.py,986,21,1,5,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\downloader.py,1290,58,1,9,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\downloader.py,1533,46,1,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\downloader.py,1571,94,2,21,1,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\downloader.py,1823,94,2,21,1,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\downloader.py,2015,40,2,8,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\downloader.py,2088,44,1,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\downloader.py,2148,72,1,15,1,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\downloader.py,2216,72,1,15,1,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\featstruct.py,809,33,1,9,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\featstruct.py,844,43,1,9,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\featstruct.py,861,25,1,5,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\featstruct.py,862,59,1,13,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\featstruct.py,867,33,1,9,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\featstruct.py,982,39,1,7,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\featstruct.py,1074,45,1,11,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\featstruct.py,1606,21,1,5,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\featstruct.py,1630,61,1,11,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\featstruct.py,1690,43,2,7,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\featstruct.py,1691,72,2,11,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\featstruct.py,1695,34,1,7,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\featstruct.py,1713,24,1,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\featstruct.py,1728,24,1,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\featstruct.py,1743,36,1,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\featstruct.py,1758,24,1,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\featstruct.py,1772,36,1,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\featstruct.py,1785,24,1,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\featstruct.py,1944,26,1,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\featstruct.py,1958,57,2,7,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\featstruct.py,2358,61,1,13,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\featstruct.py,2401,69,1,13,1,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\featstruct.py,2482,40,1,5,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\grammar.py,197,41,1,7,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\grammar.py,302,34,1,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\grammar.py,319,34,1,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\grammar.py,449,32,1,5,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\grammar.py,482,42,1,9,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\grammar.py,483,37,1,7,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\grammar.py,570,79,2,16,1,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\grammar.py,604,92,1,14,1,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\grammar.py,626,54,2,9,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\grammar.py,629,27,1,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\grammar.py,638,27,1,5,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\grammar.py,639,43,2,10,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\grammar.py,641,19,1,5,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\grammar.py,642,19,1,5,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\grammar.py,643,40,2,10,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\grammar.py,835,135,2,22,1,0,1
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\grammar.py,1132,94,1,21,1,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\grammar.py,1217,99,1,12,1,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\grammar.py,1220,36,1,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\grammar.py,1311,42,2,12,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\grammar.py,1319,55,1,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\help.py,46,51,2,9,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\internals.py,251,83,2,15,1,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\internals.py,496,29,1,5,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\internals.py,603,70,1,11,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\internals.py,642,29,1,5,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\internals.py,656,126,2,20,1,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\internals.py,685,35,2,9,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\internals.py,796,52,1,10,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\internals.py,799,40,1,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\internals.py,802,57,1,9,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\internals.py,814,54,1,9,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\jsontags.py,48,52,1,12,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\jsontags.py,50,32,1,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\probability.py,136,36,2,8,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\probability.py,236,42,1,8,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\probability.py,243,32,1,5,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\probability.py,254,34,1,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\probability.py,271,42,1,8,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\probability.py,277,32,1,5,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\probability.py,298,37,1,9,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\probability.py,331,63,1,9,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\probability.py,505,42,1,9,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\probability.py,516,44,1,11,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\probability.py,591,40,1,10,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\probability.py,884,37,1,10,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\probability.py,1022,32,1,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\probability.py,1265,20,1,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\probability.py,1266,21,1,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\probability.py,1428,41,1,11,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\probability.py,1634,73,1,15,1,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\probability.py,1638,36,1,8,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\probability.py,1639,30,1,9,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\probability.py,1709,45,1,9,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\probability.py,1731,44,1,8,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\probability.py,1756,32,2,7,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\probability.py,1766,43,1,7,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\probability.py,1775,34,1,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\probability.py,1797,32,2,7,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\probability.py,1799,32,1,7,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\probability.py,1809,35,1,7,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\probability.py,1820,44,1,11,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\probability.py,2177,31,1,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\probability.py,2184,41,1,12,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\probability.py,2192,27,1,8,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\probability.py,2207,35,1,7,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\probability.py,2218,77,1,15,1,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\six.py,132,42,1,5,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\text.py,54,26,2,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\text.py,55,72,1,16,1,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\text.py,57,72,1,16,1,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\text.py,102,25,1,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\text.py,103,43,1,8,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\text.py,104,51,2,13,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\text.py,113,58,3,11,1,1,1
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\text.py,216,29,1,7,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\text.py,257,34,1,10,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\text.py,302,37,1,9,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\text.py,304,34,1,8,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\text.py,358,45,1,10,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\text.py,400,71,3,17,1,1,1
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\text.py,402,32,1,8,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\text.py,491,23,1,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\text.py,549,39,1,8,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\text.py,566,40,2,7,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tgrep.py,170,26,1,8,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tgrep.py,181,48,3,16,1,1,1
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tgrep.py,181,15,1,5,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tgrep.py,192,64,1,15,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tgrep.py,219,64,2,20,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tgrep.py,256,64,2,20,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tgrep.py,320,58,1,11,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tgrep.py,323,17,1,7,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tgrep.py,366,33,2,8,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tgrep.py,394,25,1,7,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tgrep.py,472,39,1,9,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tgrep.py,475,36,1,9,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tgrep.py,479,48,1,9,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tgrep.py,483,70,1,15,1,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tgrep.py,489,49,1,9,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tgrep.py,493,71,1,15,1,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tgrep.py,499,46,1,9,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tgrep.py,503,43,1,9,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tgrep.py,506,45,1,9,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tgrep.py,510,46,1,9,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tgrep.py,514,33,1,9,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tgrep.py,517,34,1,9,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tgrep.py,522,45,2,12,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tgrep.py,539,57,1,16,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tgrep.py,546,53,1,14,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tgrep.py,581,31,2,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tgrep.py,586,34,1,7,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tgrep.py,626,35,1,7,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tgrep.py,714,26,2,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tgrep.py,744,26,2,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tgrep.py,747,41,2,7,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tgrep.py,751,46,2,8,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tgrep.py,756,52,1,7,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tgrep.py,880,43,2,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\toolbox.py,261,37,1,7,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tree.py,311,24,1,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tree.py,515,34,1,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tree.py,699,27,1,5,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tree.py,1289,75,2,14,1,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tree.py,1303,89,2,18,1,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tree.py,1308,90,3,15,1,1,1
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tree.py,1342,57,2,10,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tree.py,1357,132,4,21,1,1,1
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tree.py,1371,34,2,7,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tree.py,1422,33,1,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\tree.py,1464,33,1,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\treeprettyprinter.py,81,34,1,9,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\treeprettyprinter.py,82,31,1,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\treeprettyprinter.py,83,20,1,5,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\treeprettyprinter.py,93,32,1,7,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\treeprettyprinter.py,150,24,1,7,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\treeprettyprinter.py,164,61,2,12,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\treeprettyprinter.py,170,74,1,19,1,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\treeprettyprinter.py,190,82,2,22,1,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\treeprettyprinter.py,190,25,1,8,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\treeprettyprinter.py,194,31,1,6,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\treeprettyprinter.py,198,34,1,8,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\treeprettyprinter.py,214,37,1,9,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\treeprettyprinter.py,215,64,2,15,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\treeprettyprinter.py,217,33,1,9,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\treeprettyprinter.py,249,61,2,12,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\treeprettyprinter.py,254,69,3,18,1,1,1
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\treeprettyprinter.py,256,69,3,18,1,1,1
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\treeprettyprinter.py,278,45,1,10,0,0,0
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\treeprettyprinter.py,284,78,3,18,1,1,1
nltk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\nltk\nltk\treeprettyprinter.py,285,37,1,9,0,0,0
